Frame;Opacity;X;Y;Scale;Rotation
1;1;0;0;1;0
2;1;0,02;0;1,01;0,01
3;1;0,04;0;1,02;0,02
4;1;0,06;0;1,03;0,03
5;1;0,08;0;1,04;0,04
6;1;0,1;0;1,05;0,05
7;1;0,12;0;1,06;0,06
8;1;0,14;0;1,07;0,07
9;1;0,16;0;1,08;0,08
10;1;0,18;0;1,09;0,09
11;1;0,2;0;1,1;0,1
12;1;0,22;0;1,11;0,11
13;1;0,24;0;1,12;0,12
14;1;0,26;0;1,13;0,13
15;1;0,28;0;1,14;0,14
16;1;0,3;0;1,15;0,15
17;1;0,32;0;1,16;0,16
18;1;0,34;0;1,17;0,17
19;1;0,36;0;1,18;0,18
20;1;0,38;0;1,19;0,19
21;1;0,4;0;1,2;0,2
22;1;0,42;0;1,19;0,19
23;1;0,44;0;1,18;0,18
24;1;0,46;0;1,17;0,17
25;1;0,48;0;1,16;0,16
26;1;0,5;0;1,15;0,15
27;1;0,48;0;1,14;0,14
28;1;0,46;0;1,13;0,13
29;1;0,44;0;1,12;0,12
30;1;0,42;0;1,11;0,11
31;0,96;0,4;0;1,1;0,1
32;0,92;0,38;0;1,09;0,09
33;0,88;0,36;0;1,08;0,08
34;0,84;0,34;0;1,07;0,07
35;0,8;0,32;0;1,06;0,06
36;0,76;0,3;0;1,05;0,05
37;0,72;0,28;0;1,04;0,04
38;0,68;0,26;0;1,03;0,03
39;0,64;0,24;0;1,02;0,02
40;0,6;0,22;0;1,01;0,01
41;0,56;0,2;0;1;0
42;0,52;0,18;0;0,99;-0,01
43;0,48;0,16;0;0,98;-0,02
44;0,44;0,14;0;0,97;-0,03
45;0,4;0,12;0;0,96;-0,04
46;0,36;0,1;0;0,95;-0,05
47;0,32;0,08;0;0,94;-0,06
48;0,28;0,06;0;0,93;-0,07
49;0,24;0,04;0;0,92;-0,08
50;0,2;0,02;0;0,91;-0,09
51;0,16;0;0;0,9;-0,1
52;0,12;-0,02;0;0,89;-0,11
53;0,08;-0,04;0;0,88;-0,12
54;0,04;-0,06;0;0,87;-0,13
55;0;-0,08;0;0,86;-0,14
56;0;-0,1;0;0,85;-0,15
57;0;-0,12;0;0,84;-0,16
58;0;-0,14;0;0,83;-0,17
59;0;-0,16;0;0,82;-0,18
60;0;-0,18;0;0,81;-0,19
61;0;-0,2;0;0,8;-0,2
62;0;-0,22;0;0,81;-0,19
63;0;-0,24;0;0,82;-0,18
64;0;-0,26;0;0,83;-0,17
65;0;-0,28;0;0,84;-0,16
66;0;-0,3;0;0,85;-0,15
67;0;-0,32;0;0,86;-0,14
68;0;-0,34;0;0,87;-0,13
69;0;-0,36;0;0,88;-0,12
70;0;-0,38;0;0,89;-0,11
71;0;-0,4;0;0,9;-0,1
72;0;-0,42;0;0,91;-0,09
73;0;-0,44;0;0,92;-0,08
74;0;-0,46;0;0,93;-0,07
75;0;-0,48;0;0,94;-0,06
76;0;-0,46;0;0,95;-0,05
77;0,04;-0,44;0;0,96;-0,04
78;0,08;-0,42;0;0,97;-0,03
79;0,12;-0,4;0;0,98;-0,02
80;0,16;-0,38;0;0,99;-0,01
81;0,2;-0,36;0;1;0
82;0,24;-0,34;0;1;0,01
83;0,28;-0,32;0;1;0,02
84;0,32;-0,3;0;1;0,03
85;0,36;-0,28;0;1;0,04
86;0,4;-0,26;0;1;0,05
87;0,44;-0,24;0;1;0,06
88;0,48;-0,22;0;1;0,07
89;0,52;-0,2;0;1;0,08
90;0,56;-0,18;0;1;0,09
91;0,6;-0,16;0;1;0,1
92;0,64;-0,14;0;1;0,11
93;0,68;-0,12;0;1;0,12
94;0,72;-0,1;0;1;0,13
95;0,76;-0,08;0;1;0,14
96;0,8;-0,06;0;1;0,15
97;0,84;-0,04;0;1;0,16
98;0,88;-0,02;0;1;0,17
99;0,92;0;0;1;0,18
100;0,96;0;0;1;0,19
101;1;0;0;1;0,2
102;1;0;0;1;0,19
103;1;0;0;1;0,18
104;1;0;0;1;0,17
105;1;0;0;1;0,16
106;1;0;0;1;0,15
107;1;0;0;1;0,14
108;1;0;0;1;0,13
109;1;0;0;1;0,12
110;1;0;0;1;0,11
111;1;0;0;1;0,1
112;1;0;0;1;0,09
113;1;0;0;1;0,08
114;1;0;0;1;0,07
115;1;0;0;1;0,06
116;1;0;0;1;0,05
117;1;0;0;1;0,04
118;1;0;0;1;0,03
119;1;0;0;1;0,02
120;1;0;0;1;0,01
